polarity,final_messages
0,How is your life going right now 110 hit me with it
0,I do not buy that taking melatonin is useless. I took it for a while and it was too effective. Knocked me straight out but then I'd feel really off the next day
0,Oh no what sorts of messages are you getting?
0,normal rock is alright too my current favourite jack white lazaretto
0,East side for like fruit and shit
0,UBC is kinda hype tho I've been around there a lil bit and it's always great
0,looks a little worse for wear
1,i'm at uni what's your band's name
0,what kind of poodle?
0,haha yeah same okay
0,Goes out 
0,what are you studying
0,i ride it to uni otherwise it's a massive pain walking
0,laneway?
0,they exist in melbourne?
0,so no blood to be seen
0,i want to go to med school 
0,How has quarantine been for u?
1,Take me to the bikini barista and call it a date
0,How are you Itzel
1,arts student?
0,Always one step ahead
0,I keep waiting to hit that magic number but it hasn't come yet
0,I cook a decent amount depending on what constitutes cooking haha. Microwave is main tool in my arsenal
0,which bands did u like?
0,alright it was 90s night but the dj was kind of terrible
0,Sounds like a golden retriever
0,csu?
0,Gotta keep up to date with the flavors ofc
0,Super clean Vol 2 going straight to the queue haha
0,last time i had to import a copy from deutschland and from a dodgy ebay seller
0,HAHA no I like grape flavored things tho. But if they had a mango 4 loko it would instantly be my favorite
0,yeah i figured it's just not something i believe in but hey people do a lot worse
0,i don't normally go anywhere i get too busy during semester. a lot of people i know go to seven or ritz
0,i'll be at unimelb for most of next week if you're around
0,why do you have a photo of geoff shaw?
0,it's a fine name but it could be something else like a distant relative's name
0,cat juice?
0,yeah are you not from melbourne?
0,It's a bit far typically I'll go with a friend and uber back  still works out to way less cash
0,oh wow nice
0,haha righto
0,where are you studying that?
0,I hang around the CIT 3rd floor sometimes and theres food there maybe half the time
0,haha yep
0,Natasha hows ur life going 10 to 10 hit me w it
0,65 year old Noah will be SHREDDIN the waves
0,Honestly akpsi wins in that regard tiddy milk for everyone
0,Damn I lost
0,cool change coming thank god
0,Well your going to have to make up for dating Bailey by dating someone with a normal name like Joseph
0,cigar lounge?
0,They are also divorced lol
0,Yeah that's terrible why would they ever schedule something then
0,Nice try no way I'm giving away my secrets this easily
0,Same here
1,highly philosophical question  miley or taylor swift
1,what's with the bear
0,Psychology is really cool are you gonna be a therapist or just doing it cause it's cool? Are you psychoanalyzing me as we speak
1,I have a feeling there are other things we have in common too
0,ah do you play it then?
0,I stay away from gluten all animal products except ground beef
0,Yeah exactly! Measuring KPIs so that what marketing is doing is actually worth it 
1,well it took long enough lol
0,Hey you dropped this
0,Tell me your favorite song right now
0,Alright it looks like you'll win the wedding is still on
0,that would probably be a little easier than trying to get into med school
0,um dude your dp shows a blonde kid
0,I'm hiring a lit DJ
0,it's good fun we've been bribing the small children with candy
0,why are you planning on acquiring an exotic pet?
0,how old is he dear god he's not like 10 or something
0,Did u find ur ex
0,today was admin and sorting stuff out
0,no like what kind of musicals and such?
0,nice i didn't go but i saw sky ferreira and the strypes in melbourne
0,Went to college in Providence... so I guess I'm coming from a lot of places
0,ah nice which uni?
1,That's too nice I could say the same for u 
0,yeah i guess
0,i don't judge spelling haha grammar's another story
0,i do might be less fun if blood's squirting all over the joint
0,How much spaghetti do I have to cook you to make up for it
0,nah i'm volunteering with the union which runs some stuff for vce students
0,What if you get something stuck in your teeth
0,i'd like to get into medicine
0,Roller skating is so much fun but I'm so awful at it lol
0,Ugh that's an L you'll have to go extra hard after quarantine to make up for it
0,Witch
0,from friday night? nice
0,hilarity ensues
0,I see at least its transparent haha
0, Simpin is the best way to my heart
1,I see that UW dorm bed lol which dorm did u stay in?
0,HAHA IT WAS ONLY US
0,ruyton
0,haha have you heard of counter strike?
1,Sadly lost the stilts but can still give you a piggy back ride. Practically the same
0,that's how i rationalise it
1,Perfect I can reach the high shelves and you can get the low ones
1,good how r u?
1,This is both a compliment but also makes me question my entire life
0,I was talking to my roommates lmao my b
0,What other classes are u looking at?
0,I'm not going to budge on the togo box but I will grant a bonus point for the meik swipe. 810 final score. Are you off meal plan?
0,OH
0,i don't do law obviously but damn it i just got it
0,that was a question...
0,haha the swedish also make good food too
1,i bet i have more participation ribbons
1,nice couldn't find slave labour at home?
0,i have to get some  i'll ttyl
0,Mostly stay away from soy
0,Same as you. Partied a decent amount in high school and early college then for whatever reason being drunk didnt feel good anymore so that pretty much was it for me.  Was never going out 3 times a week tho haha I would literally die
0,Alright which flavor tho
0,i got that name like 6 years ago
0,Ah damn  Mine was early February so right before things started getting worse haha. I want it all to end to go to the bars and stuff tho
0,One of my favorites rn is Giveon I would give him a listen
0,welcome to NY
1,You are pretty
0,mine are mostly indie rock and some indiepop
0,everything also sticks from school
0,are you a comm kid?
0,i still drink it on the sly
0,Damn I didn't watch the right episodes then lol
0,so is his songbook
0,and if it all pans out med school after i graduate
0,and so on because you can only take each on every four hours
0, omg I was actually able to find it looking up frank ocean kid cudi me LOL
0,What are u studying?
0,tall? i don't know about that
0,What are you teaching?
0,nup it's wordplay
1,i have to go to dinner have fun at the show
0,Please dont be a bot
0,I have never seen a palm tree in real life
1,is that an italian greyhound?
0,Yeah it was just on violin IIRC. I think Steve tried to put me into situations where I'd be around girls
0,they are! but a nightmare to get their releases
0,Idk I'm in the Udistrict and haven't caught Covid so I'm built different
0,Autocorrect
0,ahh right
0,Damn always something
0,Where do you usually go shopping?
0,You ever do some crazy shit while drunk
1,Fwb
1,Will I at least have free room and board at your place when I come?
0,I've only ever dated for girls from Atlanta would you like to help me continue the tradition
0,So your saying that flosses daily wasnt enough to sweep you off your feet?
0,HER is so good too ah
0,Heyy
0,i listen mostly to indie rock of the british variety
0,weimaraner
1,God is always watching
0,why do you cry at night?
0,I am a fan of both
0,unless it's exceptionally rare
0,we agree there
0,Exactly I've already got a leg up on everyone else
0,yep i go to a joint near my place all the time to get my fix
1,1am isn't really that late
0,Haha being a premeds gotta suck
0,hi not bad how about yours?
0,Whats the coolest thing you've ever gotten there?
0,I did it before with grape and fruit punch fruit punch was not the move
0,I've been watching some movies! I just watched Love Simon and 13th this past weekend
0,dogs don't live that long
0,biology life sciences
0,yeah it's hard though
1,Save a horse ride a cowboy me
1,Haha fair fair let me know when I can buy bath water tho
0,If you drop yours one day I'll make sure to let you know
0,I gotchu haha
0,Office does too much cringe humor but I also love the characters so it balances out
0,I've heard oakland really cool though
0,Hennessy respect I like it
0,Like a 3.50 bag of chips at easy side is 1.19 at Aldi
0,It's extremely important for dental health
0,Aw thank youuu I see u like Frank too what is your favorite songalbum?
0,yep. many splinters.
0,Yeah school doesnt matter so much for me I gotta get a job though and I'm pretty bad at it
0,Of course I do
0,Me and my roommates are just chillin at our apt for quarantine
0,he's doing jazz sax at uni not sure how good he is though
0,but neural crest 
0,I got reject from UChicago
0,Oh that's so nice you'll have to show me sometime
0,Been doing good so far
0,Only ground because it's cheap hahaha
0,yep i have a golden retriever named honey
0,hahaha i do science
1,Hey Alexandra I appreciate the super like 
0,Its really cool that you run a non profit what does it do
0,This isnt a great month to be in Boston what brings you here?
0,didn't know they were that old will have a listen 
0,I dont even know what's 50 miles away is that the desert or something
1,I'm troublemaker
1,Hmm my guess is 4'11 with 6'11 energy
0,Oh YUH
0,What happened?!? Haha
0,more like furry footballs on legs
0,Haha same thank u too! Night
0,Bullet dodged though
0,then dip it in snow
0,yep graduating at the end of this
1,In your heart
0,excellently thank you for asking
0,starting 3rd this year
0,Also Shaggy and I are doing ocho loko tmrw I'll let you know how it goes
0,God that sounds gross 
0,are those fenders?
0,How would u best describe your personality
0,shellfish
0,So do I 
0,yep but it's pretty good anyway
0,best song on 1989?
0,So which one?
1,was it? 
0,haha as long as the dj is not an idiot it should be okay
0,lol you are such a troll
1,Are you my laptop? Cause you're really hot and I'm kinda nervous 
0,you wouldn't know a guy called jeremy pattison would you?
0,jack white's lazaretto my god
0,Are you named after the water bottle brand or is it named after you???
0,#2 on top ten things i didn't want to know
0,White claw monster is practically a 4 loko
0,Or bodwin
0,Are you still playing violindoing other music stuff?
0,We can make that a regular thing
0,Me
0,Oh yup I almost saw them at the Neptune then realized I would be way out of place
1,You're not wrong  wait lemme send my repeat playlist that could be better
